COU,Country,Status,Species,Animals
CHL,Chile,VULN,MAMMAL,20
AUS,Australia,ENDG,REPTILE,20
CRI,Costa Rica,VULN,BIRD,20
BRA,Brazil,VULN,REPTILE,20
AUT,Austria,KNOW,AMPHIBIAN,20
PRT,Portugal,KNOW,AMPHIBIAN,20
NZL,New Zealand,THREAT,MOSS,20
HUN,Hungary,CRIT,MOSS,20
BEL,Belgium,VULN,BIRD,20
JPN,Japan,CRIT,AMPHIBIAN,20
BEL,Belgium,CRIT,BIRD,20
LTU,Lithuania,VULN,BIRD,20
SWE,Sweden,THREAT,FISH,20
JPN,Japan,VULN,LICHEN,20
IRL,Ireland,CRIT,VASCULAR_PLANT,20
SVK,Slovak Republic,THREAT,MAMMAL,20
HUN,Hungary,ENDG,BIRD,20
AUS,Australia,ENDG,FISH,19
CHE,Switzerland,KNOW,AMPHIBIAN,19
EST,Estonia,CRIT,MOSS,19
ESP,Spain,THREAT,REPTILE,19
CHE,Switzerland,KNOW,REPTILE,19
SVN,Slovenia,ENDG,MAMMAL,19
LVA,Latvia,ENDG,BIRD,19
LTU,Lithuania,CRIT,BIRD,19
ESP,Spain,VULN,FISH,19
IRL,Ireland,CRIT,MOSS,19
BEL,Belgium,KNOW,AMPHIBIAN,19
POL,Poland,KNOW,AMPHIBIAN,19
CHL,Chile,VULN,BIRD,19
GRC,Greece,CRIT,FISH,19
SWE,Sweden,THREAT,FISH,19
CHL,Chile,ENDG,REPTILE,18
FRA,France,CRIT,INVERTEB,18
CRI,Costa Rica,THREAT,MAMMAL,18
BRA,Brazil,CRIT,AMPHIBIAN,18
ESP,Spain,VULN,MAMMAL,18
SVN,Slovenia,THREAT,REPTILE,18
SVK,Slovak Republic,KNOW,AMPHIBIAN,18
KOR,Korea,ENDG,BIRD,18
MEX,Mexico,CRIT,BIRD,18
AUT,Austria,ENDG,FISH,18
BEL,Belgium,THREAT,MAMMAL,18
HUN,Hungary,KNOW,AMPHIBIAN,18
COL,Colombia,ENDG,MAMMAL,18
AUT,Austria,ENDG,FISH,18
LVA,Latvia,ENDG,LICHEN,18
SVK,Slovak Republic,VULN,BIRD,17
AUS,Australia,CRIT,BIRD,17
AUS,Australia,ENDG,FISH,17
IRL,Ireland,THREAT,FISH,17
FRA,France,THREAT,MAMMAL,17
SVN,Slovenia,CRIT,BIRD,17
SVN,Slovenia,THREAT,AMPHIBIAN,17
GRC,Greece,CRIT,VASCULAR_PLANT,17
TUR,Turkey,THREAT,BIRD,17
COL,Colombia,VULN,REPTILE,17
POL,Poland,THREAT,FISH,17
LVA,Latvia,VULN,MOSS,17
GRC,Greece,ENDG,BIRD,17
LTU,Lithuania,ENDG,BIRD,17
AUT,Austria,VULN,MAMMAL,17
NOR,Norway,THREAT,MAMMAL,17
LTU,Lithuania,ENDG,LICHEN,16
FRA,France,CRIT,BIRD,16
POL,Poland,CRIT,BIRD,16
CAN,Canada,VULN,FISH,16
ISL,Iceland,VULN,BIRD,16
LVA,Latvia,CRIT,VASCULAR_PLANT,16
NZL,New Zealand,THREAT,LICHEN,16
CAN,Canada,THREAT,AMPHIBIAN,16
GRC,Greece,ENDG,FISH,16
LVA,Latvia,VULN,BIRD,16
CRI,Costa Rica,VULN,AMPHIBIAN,16
COL,Colombia,ENDG,REPTILE,16
JPN,Japan,THREAT,FISH,16
CHE,Switzerland,VULN,MAMMAL,16
COL,Colombia,CRIT,BIRD,16
NLD,Netherlands,KNOW,AMPHIBIAN,16
AUS,Australia,VULN,FISH,16
DNK,Denmark,KNOW,AMPHIBIAN,15
BEL,Belgium,THREAT,FISH,15
FRA,France,THREAT,FISH,15
CRI,Costa Rica,VULN,INVERTEB,15
AUS,Australia,CRIT,AMPHIBIAN,15
AUT,Austria,VULN,FISH,15
NOR,Norway,ENDG,BIRD,15
GBR,United Kingdom,KNOW,REPTILE,15
CZE,Czech Republic,THREAT,MAMMAL,15
SVN,Slovenia,VULN,MAMMAL,15
DNK,Denmark,ENDG,BIRD,15
CZE,Czech Republic,CRIT,FISH,15
HUN,Hungary,KNOW,REPTILE,15
CAN,Canada,VULN,REPTILE,15
GBR,United Kingdom,KNOW,AMPHIBIAN,15
BEL,Belgium,ENDG,BIRD,15
AUT,Austria,VULN,FISH,15
CZE,Czech Republic,CRIT,FISH,15
CHE,Switzerland,THREAT,REPTILE,15
MEX,Mexico,ENDG,AMPHIBIAN,15
ITA,Italy,VULN,FISH,14
POL,Poland,VULN,FISH,14
SVN,Slovenia,VULN,AMPHIBIAN,14
SWE,Sweden,THREAT,MAMMAL,14
CAN,Canada,ENDG,BIRD,14
KOR,Korea,THREAT,MAMMAL,14
AUT,Austria,KNOW,REPTILE,14
GRC,Greece,CRIT,BIRD,14
CAN,Canada,ENDG,FISH,14
BRA,Brazil,ENDG,FISH,14
NZL,New Zealand,CRIT,MOSS,14
BEL,Belgium,THREAT,FISH,14
NLD,Netherlands,VULN,FISH,14
DEU,Germany,ENDG,FISH,14
GRC,Greece,CRIT,FISH,14
GRC,Greece,THREAT,FISH,14
AUT,Austria,CRIT,BIRD,14
LUX,Luxembourg,KNOW,AMPHIBIAN,14
MEX,Mexico,CRIT,FISH,14
CHL,Chile,VULN,FISH,14
AUS,Australia,THREAT,FISH,14
ITA,Italy,THREAT,AMPHIBIAN,14
HUN,Hungary,THREAT,MAMMAL,14
CHE,Switzerland,VULN,FISH,13
LTU,Lithuania,KNOW,AMPHIBIAN,13
CRI,Costa Rica,ENDG,INVERTEB,13
LTU,Lithuania,CRIT,INVERTEB,13
DNK,Denmark,ENDG,MOSS,13
CHE,Switzerland,VULN,FISH,13
FIN,Finland,CRIT,BIRD,13
CHE,Switzerland,THREAT,AMPHIBIAN,13
NLD,Netherlands,THREAT,FISH,13
DEU,Germany,KNOW,REPTILE,13
GRC,Greece,VULN,MAMMAL,13
PRT,Portugal,VULN,MAMMAL,13
LTU,Lithuania,ENDG,MOSS,13
LVA,Latvia,KNOW,AMPHIBIAN,13
KOR,Korea,ENDG,FISH,13
AUS,Australia,VULN,INVERTEB,13
CHE,Switzerland,ENDG,MAMMAL,13
ITA,Italy,VULN,MAMMAL,13
GRC,Greece,ENDG,MAMMAL,13
KOR,Korea,ENDG,FISH,13
POL,Poland,THREAT,MAMMAL,13
BEL,Belgium,VULN,FISH,13
CHL,Chile,ENDG,MAMMAL,13
SWE,Sweden,KNOW,AMPHIBIAN,13
MEX,Mexico,CRIT,FISH,13
CHL,Chile,VULN,FISH,13
JPN,Japan,CRIT,MAMMAL,13
AUS,Australia,VULN,AMPHIBIAN,12
LUX,Luxembourg,THREAT,FISH,12
DEU,Germany,VULN,FISH,12
AUT,Austria,THREAT,AMPHIBIAN,12
POL,Poland,KNOW,REPTILE,12
GRC,Greece,ENDG,FISH,12
BRA,Brazil,CRIT,MAMMAL,12
SVK,Slovak Republic,KNOW,REPTILE,12
SVK,Slovak Republic,THREAT,FISH,12
DEU,Germany,CRIT,FISH,12
LUX,Luxembourg,THREAT,FISH,12
JPN,Japan,ENDG,MAMMAL,12
CZE,Czech Republic,KNOW,AMPHIBIAN,12
BEL,Belgium,VULN,MAMMAL,12
FIN,Finland,THREAT,FISH,12
COL,Colombia,THREAT,FISH,12
ITA,Italy,ENDG,FISH,12
CZE,Czech Republic,KNOW,REPTILE,12
SVK,Slovak Republic,VULN,MAMMAL,12
POL,Poland,VULN,FISH,12
CRI,Costa Rica,THREAT,REPTILE,12
BRA,Brazil,ENDG,AMPHIBIAN,12
CAN,Canada,CRIT,MAMMAL,11
BRA,Brazil,VULN,AMPHIBIAN,11
CAN,Canada,ENDG,FISH,11
GBR,United Kingdom,THREAT,MAMMAL,11
COL,Colombia,CRIT,REPTILE,11
ITA,Italy,CRIT,FISH,11
FRA,France,THREAT,FISH,11
DEU,Germany,VULN,FISH,11
SWE,Sweden,ENDG,BIRD,11
FRA,France,ENDG,FISH,11
NLD,Netherlands,THREAT,MAMMAL,11
EST,Estonia,KNOW,AMPHIBIAN,11
CHL,Chile,VULN,AMPHIBIAN,11
SVN,Slovenia,VULN,REPTILE,11
ISL,Iceland,ENDG,BIRD,11
ITA,Italy,THREAT,REPTILE,11
LUX,Luxembourg,VULN,BIRD,11
PRT,Portugal,CRIT,MAMMAL,11
PRT,Portugal,ENDG,FISH,10
ESP,Spain,CRIT,BIRD,10
DEU,Germany,ENDG,MAMMAL,10
CAN,Canada,ENDG,MAMMAL,10
AUS,Australia,ENDG,AMPHIBIAN,10
CHL,Chile,CRIT,AMPHIBIAN,10
ITA,Italy,CRIT,FISH,10
POL,Poland,VULN,BIRD,10
CRI,Costa Rica,VULN,MAMMAL,10
NLD,Netherlands,THREAT,FISH,10
BRA,Brazil,CRIT,REPTILE,10
SVN,Slovenia,THREAT,FISH,10
COL,Colombia,ENDG,FISH,10
NLD,Netherlands,ENDG,BIRD,10
NLD,Netherlands,CRIT,BIRD,10
SVN,Slovenia,VULN,FISH,10
ITA,Italy,CRIT,BIRD,10
POL,Poland,ENDG,MAMMAL,10
NLD,Netherlands,VULN,FISH,10
ITA,Italy,VULN,AMPHIBIAN,10
BEL,Belgium,KNOW,REPTILE,10
AUS,Australia,CRIT,REPTILE,10
TUR,Turkey,THREAT,AMPHIBIAN,10
PRT,Portugal,THREAT,REPTILE,10
CZE,Czech Republic,CRIT,MAMMAL,10
FRA,France,VULN,MAMMAL,10
AUS,Australia,CRIT,MAMMAL,10
SVK,Slovak Republic,CRIT,BIRD,10
ESP,Spain,VULN,REPTILE,10
SVN,Slovenia,VULN,FISH,9
ESP,Spain,CRIT,FISH,9
ESP,Spain,ENDG,FISH,9
ESP,Spain,CRIT,FISH,9
SVN,Slovenia,ENDG,FISH,9
LTU,Lithuania,CRIT,MOSS,9
CHL,Chile,CRIT,REPTILE,9
DEU,Germany,ENDG,FISH,9
CAN,Canada,VULN,AMPHIBIAN,9
EST,Estonia,THREAT,FISH,9
GRC,Greece,THREAT,REPTILE,9
BEL,Belgium,VULN,FISH,9
MEX,Mexico,CRIT,MAMMAL,9
HUN,Hungary,CRIT,INVERTEB,9
CAN,Canada,CRIT,FISH,9
AUT,Austria,THREAT,REPTILE,9
JPN,Japan,CRIT,REPTILE,9
CRI,Costa Rica,ENDG,FISH,9
CHL,Chile,THREAT,MOSS,9
DNK,Denmark,THREAT,MAMMAL,9
JPN,Japan,VULN,MAMMAL,9
CHE,Switzerland,ENDG,AMPHIBIAN,9
EST,Estonia,THREAT,FISH,9
COL,Colombia,VULN,FISH,9
ESP,Spain,THREAT,AMPHIBIAN,9
KOR,Korea,VULN,MAMMAL,9
RUS,Russia,THREAT,REPTILE,9
LUX,Luxembourg,VULN,INVERTEB,9
NOR,Norway,KNOW,REPTILE,9
CHE,Switzerland,CRIT,BIRD,9
FRA,France,THREAT,REPTILE,9
FRA,France,THREAT,AMPHIBIAN,8
DNK,Denmark,THREAT,FISH,8
SWE,Sweden,VULN,FISH,8
DNK,Denmark,KNOW,REPTILE,8
CZE,Czech Republic,VULN,FISH,8
CZE,Czech Republic,VULN,FISH,8
AUT,Austria,VULN,AMPHIBIAN,8
FRA,France,VULN,FISH,8
HUN,Hungary,VULN,INVERTEB,8
LUX,Luxembourg,ENDG,BIRD,8
LUX,Luxembourg,VULN,FISH,8
SVK,Slovak Republic,THREAT,AMPHIBIAN,8
LUX,Luxembourg,VULN,FISH,8
NZL,New Zealand,KNOW,AMPHIBIAN,8
DEU,Germany,CRIT,FISH,8
AUS,Australia,VULN,FISH,8
DEU,Germany,THREAT,REPTILE,8
PRT,Portugal,CRIT,FISH,8
ITA,Italy,VULN,FISH,8
POL,Poland,ENDG,BIRD,8
ITA,Italy,ENDG,MAMMAL,8
JPN,Japan,ENDG,FISH,8
NZL,New Zealand,VULN,LICHEN,8
DEU,Germany,THREAT,AMPHIBIAN,8
DNK,Denmark,THREAT,FISH,8
CRI,Costa Rica,ENDG,BIRD,8
CRI,Costa Rica,ENDG,MAMMAL,7
FIN,Finland,KNOW,AMPHIBIAN,7
CZE,Czech Republic,THREAT,REPTILE,7
NOR,Norway,THREAT,FISH,7
NLD,Netherlands,KNOW,REPTILE,7
SVN,Slovenia,ENDG,REPTILE,7
NOR,Norway,THREAT,FISH,7
LUX,Luxembourg,CRIT,BIRD,7
KOR,Korea,VULN,FISH,7
LUX,Luxembourg,ENDG,INVERTEB,7
NOR,Norway,VULN,MAMMAL,7
LUX,Luxembourg,CRIT,INVERTEB,7
LTU,Lithuania,THREAT,MAMMAL,7
LTU,Lithuania,KNOW,REPTILE,7
ESP,Spain,THREAT,FISH,7
FRA,France,CRIT,FISH,7
AUS,Australia,CRIT,FISH,7
ESP,Spain,ENDG,FISH,7
KOR,Korea,VULN,FISH,7
HUN,Hungary,ENDG,INVERTEB,7
NLD,Netherlands,THREAT,AMPHIBIAN,7
COL,Colombia,CRIT,FISH,7
CHE,Switzerland,ENDG,REPTILE,7
DEU,Germany,CRIT,MAMMAL,7
SWE,Sweden,VULN,FISH,7
PRT,Portugal,ENDG,MAMMAL,7
